#Organism Name,Organism Groups,Size(Mb),Chromosomes,Organelles,Plasmids,Assemblies
"'Brassica napus' phytoplasma","Bacteria;Terrabacteria group;Tenericutes",0.743598,0,0,0,1
"'Candidatus Kapabacteria' thiocyanatum","Bacteria;FCB group;Bacteroidetes/Chlorobi group",3.27299,0,0,0,2
"'Catharanthus roseus' aster yellows phytoplasma","Bacteria;Terrabacteria group;Tenericutes",0.603949,1,0,1,1
"'Chrysanthemum coronarium' phytoplasma","Bacteria;Terrabacteria group;Tenericutes",0.739592,0,0,0,1
"'Cynodon dactylon' phytoplasma","Bacteria;Terrabacteria group;Tenericutes",0.483935,0,0,0,1
"'Echinacea purpurea' witches'-broom phytoplasma","Bacteria;Terrabacteria group;Tenericutes",0.639808,1,0,1,1
"'Elaeagnus angustifolia' witches'-broom phytoplasma","Bacteria;Terrabacteria group;Tenericutes",0.833199,0,0,0,1
"'Fragaria x ananassa' phyllody phytoplasma","Bacteria;Terrabacteria group;Tenericutes",0.627584,0,0,0,1
"'Megasphaera vaginalis' Bordigoni et al. 2020","Bacteria;Terrabacteria group;Bacillota",2.20637,0,0,0,1
"'Osedax' symbiont bacterium Rs2_46_30_T18","Bacteria;unclassified Bacteria;Osedax symbiont bacterium Rs2_46_30_T18",4.02183,0,0,0,1
"'Parthenium hysterophorus' phyllody phytoplasma","Bacteria;Terrabacteria group;Tenericutes",0.566161,0,0,0,1
"'Prunus persica' phytoplasma PP2","Bacteria;Terrabacteria group;Tenericutes",0.228345,0,0,0,1
"'Santalum album' aster yellows phytoplasma","Bacteria;Terrabacteria group;Tenericutes",0.554025,0,0,0,1
"'Sphingomonas ginsengisoli' Hoang et al. 2012","Bacteria;Pseudomonadota;Alphaproteobacteria",3.03639,0,0,0,1
"Abditibacteriales bacterium","Bacteria;Terrabacteria group;Abditibacteriota",5.12906,0,0,0,1
"Abditibacteriota bacterium","Bacteria;Terrabacteria group;Abditibacteriota",7.53356,1,0,1,11
"Abditibacterium utsteinense","Bacteria;Terrabacteria group;Abditibacteriota",3.60633,0,0,0,1
"Abiotrophia","Bacteria;Terrabacteria group;Bacillota",2.05692,0,0,0,11
"Abiotrophia defectiva","Bacteria;Terrabacteria group;Bacillota",2.04683,1,0,0,7
"Abitibacteriaceae bacterium","Bacteria;Terrabacteria group;Abditibacteriota",6.65216,0,0,0,2
"Absicoccus porci","Bacteria;Terrabacteria group;Bacillota",2.22213,0,0,0,2
"Absiella","Bacteria;Terrabacteria group;Bacillota",4.73933,0,0,0,9
"Abyssalbus ytuae","Bacteria;FCB group;Bacteroidetes/Chlorobi group",4.36504,1,0,0,1
"Abyssibacter profundi","Bacteria;Pseudomonadota;Gammaproteobacteria",3.74151,0,0,0,1
"Abyssicoccus albus","Bacteria;Terrabacteria group;Bacillota",1.74579,1,0,0,2
"Abyssisolibacter fermentans","Bacteria;Terrabacteria group;Bacillota",4.78636,0,0,0,1
"Abyssogena phaseoliformis symbiont","Bacteria;Pseudomonadota;Gammaproteobacteria",1.54218,1,0,0,1
"Acanthopleuribacter pedis","Bacteria;Acidobacteria;Holophagae",10.8486,0,0,0,1
"Acaricomes phytoseiuli","Bacteria;Terrabacteria group;Actinomycetota",2.41952,0,0,0,2
"Acaryochloridaceae cyanobacterium CSU_3_4","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group",2.74569,0,0,0,1
"Acaryochloridaceae cyanobacterium CSU_5_19","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group",1.28234,0,0,0,1
"Acaryochloridaceae cyanobacterium RL_2_7","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group",1.46145,0,0,0,1
"Acaryochloridaceae cyanobacterium RU_4_10","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group",4.48368,0,0,0,1
"Acaryochloridaceae cyanobacterium SU_2_1","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group",3.0211,0,0,0,1
"Acaryochloris","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group",8.09443,1,0,10,11
"Acaryochloris marina","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group",8.3616,1,0,9,3
"Acaryochloris thomasi RCC1774","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group",5.93184,0,0,0,1
"Acerihabitans arboris","Bacteria;Pseudomonadota;Gammaproteobacteria",5.64493,0,0,0,1
"Acetanaerobacterium elongatum","Bacteria;Terrabacteria group;Bacillota",2.91621,0,0,0,1
"Acetatifactor muris","Bacteria;Terrabacteria group;Bacillota",6.01365,0,0,0,7
"Acetilactobacillus jinshanensis","Bacteria;Terrabacteria group;Bacillota",1.61643,1,0,0,1
"Acetitomaculum ruminis","Bacteria;Terrabacteria group;Bacillota",3.08272,0,0,0,1
"Acetivibrio alkalicellulosi","Bacteria;Terrabacteria group;Bacillota",5.30723,0,0,0,1
"Acetivibrio cellulolyticus","Bacteria;Terrabacteria group;Bacillota",6.15674,0,0,0,1
"Acetivibrio clariflavus","Bacteria;Terrabacteria group;Bacillota",4.89768,1,0,0,2
"Acetivibrio ethanolgignens","Bacteria;Terrabacteria group;Bacillota",3.66025,0,0,0,2
"Acetivibrio mesophilus","Bacteria;Terrabacteria group;Bacillota",4.04484,0,0,0,1
"Acetivibrio saccincola","Bacteria;Terrabacteria group;Bacillota",3.60455,1,0,0,3
"Acetivibrio straminisolvens","Bacteria;Terrabacteria group;Bacillota",4.38546,0,0,0,3
"Acetivibrio thermocellus","Bacteria;Terrabacteria group;Bacillota",3.57758,1,0,0,12
"Acetoanaerobium noterae","Bacteria;Terrabacteria group;Bacillota",2.81423,0,0,0,1
"Acetoanaerobium pronyense","Bacteria;Terrabacteria group;Bacillota",2.9803,0,0,0,1
"Acetoanaerobium sticklandii","Bacteria;Terrabacteria group;Bacillota",2.71546,1,0,0,1
"Acetobacter","Bacteria;Pseudomonadota;Alphaproteobacteria",3.70815,1,0,2,79
"Acetobacter aceti","Bacteria;Pseudomonadota;Alphaproteobacteria",3.69077,0,0,0,11
"Acetobacter ascendens","Bacteria;Pseudomonadota;Alphaproteobacteria",3.28583,1,0,3,3
"Acetobacter cerevisiae","Bacteria;Pseudomonadota;Alphaproteobacteria",3.08807,0,0,0,7
"Acetobacter cibinongensis","Bacteria;Pseudomonadota;Alphaproteobacteria",3.10509,0,0,0,3
"Acetobacter conturbans","Bacteria;Pseudomonadota;Alphaproteobacteria",3.88413,0,0,0,1
"Acetobacter estunensis","Bacteria;Pseudomonadota;Alphaproteobacteria",3.64384,0,0,0,2
"Acetobacter fabarum","Bacteria;Pseudomonadota;Alphaproteobacteria",3.0277,0,0,0,34
"Acetobacter fallax","Bacteria;Pseudomonadota;Alphaproteobacteria",4.21701,0,0,0,2
"Acetobacter farinalis","Bacteria;Pseudomonadota;Alphaproteobacteria",2.947,0,0,0,2
"Acetobacter garciniae","Bacteria;Pseudomonadota;Alphaproteobacteria",3.84825,0,0,0,2
"Acetobacter ghanensis","Bacteria;Pseudomonadota;Alphaproteobacteria",2.79403,0,0,0,2
"Acetobacter indonesiensis","Bacteria;Pseudomonadota;Alphaproteobacteria",3.19172,0,0,0,9
"Acetobacter lambici","Bacteria;Pseudomonadota;Alphaproteobacteria",3.25237,0,0,0,3
"Acetobacter lovaniensis","Bacteria;Pseudomonadota;Alphaproteobacteria",3.46946,0,0,0,5
"Acetobacter malorum","Bacteria;Pseudomonadota;Alphaproteobacteria",3.83348,0,0,0,8
"Acetobacter musti","Bacteria;Pseudomonadota;Alphaproteobacteria",4.71341,0,0,0,1
"Acetobacter nitrogenifigens","Bacteria;Pseudomonadota;Alphaproteobacteria",4.24131,0,0,0,2
"Acetobacter oeni","Bacteria;Pseudomonadota;Alphaproteobacteria",4.10607,0,0,0,3
"Acetobacter okinawensis","Bacteria;Pseudomonadota;Alphaproteobacteria",3.1109,0,0,0,5
"Acetobacter orientalis","Bacteria;Pseudomonadota;Alphaproteobacteria",2.91069,0,0,0,11
"Acetobacter orleanensis","Bacteria;Pseudomonadota;Alphaproteobacteria",2.99754,0,0,0,4
"Acetobacter oryzifermentans","Bacteria;Pseudomonadota;Alphaproteobacteria",3.12745,1,0,0,2
"Acetobacter oryzoeni","Bacteria;Pseudomonadota;Alphaproteobacteria",3.15318,1,0,3,2
"Acetobacter papayae","Bacteria;Pseudomonadota;Alphaproteobacteria",3.04108,0,0,0,1
"Acetobacter pasteurianus","Bacteria;Pseudomonadota;Alphaproteobacteria",3.057,1,0,2,33
"Acetobacter peroxydans","Bacteria;Pseudomonadota;Alphaproteobacteria",2.70346,0,0,0,14
"Acetobacter persici","Bacteria;Pseudomonadota;Alphaproteobacteria",3.50553,0,0,0,9
"Acetobacter pomorum","Bacteria;Pseudomonadota;Alphaproteobacteria",3.33212,0,0,0,9
"Acetobacter sacchari","Bacteria;Pseudomonadota;Alphaproteobacteria",4.5532,0,0,0,1
"Acetobacter senegalensis","Bacteria;Pseudomonadota;Alphaproteobacteria",3.96991,1,0,1,11
"Acetobacter sicerae","Bacteria;Pseudomonadota;Alphaproteobacteria",4.03306,0,0,0,2
"Acetobacter suratthaniensis","Bacteria;Pseudomonadota;Alphaproteobacteria",3.08818,0,0,0,2
"Acetobacter syzygii","Bacteria;Pseudomonadota;Alphaproteobacteria",2.68737,0,0,0,8
"Acetobacter thailandicus","Bacteria;Pseudomonadota;Alphaproteobacteria",2.77952,0,0,0,6
"Acetobacter tropicalis","Bacteria;Pseudomonadota;Alphaproteobacteria",3.76963,0,0,0,11
"Acetobacteraceae bacterium","Bacteria;Pseudomonadota;Alphaproteobacteria",7.74829,1,0,1,218
"Acetobacteraceae bacterium (ex Diaphorina citri)","Bacteria;Pseudomonadota;Alphaproteobacteria",2.17647,1,0,0,1
"Acetobacteraceae bacterium AT-5844","Bacteria;Pseudomonadota;Alphaproteobacteria",5.19055,0,0,0,1
"Acetobacteraceae bacterium B3987","Bacteria;Pseudomonadota;Alphaproteobacteria",2.04301,0,0,0,1
"Acetobacteraceae bacterium DM15PD","Bacteria;Pseudomonadota;Alphaproteobacteria",2.06288,1,0,1,1
"Acetobacteraceae bacterium H6797","Bacteria;Pseudomonadota;Alphaproteobacteria",4.84422,0,0,0,1
"Acetobacteraceae bacterium KSS12","Bacteria;Pseudomonadota;Alphaproteobacteria",3.95503,0,0,0,1
"Acetobacteraceae bacterium KSS8","Bacteria;Pseudomonadota;Alphaproteobacteria",3.71828,0,0,0,1
"Acetobacteraceae bacterium SCN 69-10","Bacteria;Pseudomonadota;Alphaproteobacteria",2.10074,0,0,0,1
"Acetobacteraceae bacterium UBA6159","Bacteria;Pseudomonadota;Alphaproteobacteria",4.62817,0,0,0,1
